nwo,name,description,topics,predicted_naics,naics_description,confidence,readme_preview
iaintheardofu/Zelda,Zelda,Zelda,[],51,Information,0.7998694181442261,"# ZELDA - Advanced RF Signal Intelligence Platform

<div align=""center"">

**Making the Invisible, Visible**

[![Python 3.11+](https://img.shields.io/badge/python-3.11+-blue.svg)](https://www.python.org/downloads/)
[![License: MIT](https://img.shields.io/badge/License-MIT-yellow.svg)](https://opensource.org/licenses/MIT)
[![Status: Production Ready](https://img.shields.io/badge/status-production--ready-green.svg)]()

</div>

## 🎯 Mission Statement

ZELDA is the world's most advanced **defensive**"
verlyn13/fedora-top-mesh,fedora-top-mesh,Device-specific mesh configuration for fedora-top laptop,[],51,Information,0.7998366355895996,"# Fedora-Top Mesh Configuration

Device-specific configuration for `fedora-top` laptop in the mesh infrastructure.

## Node Details

- **Hostname**: fedora-top
- **Tailscale Name**: laptop-hq
- **Role**: Workstation, Roaming Device, Ansible Managed Node
- **Mesh IP**: 100.84.2.8 (active)
- **Status**: Phase 1 & 2 Complete - Fully Operational

## Purpose

This repository contains the specific configuration for the Fedora laptop (ThinkPad) as part of the three-node mesh infrastructure. It compleme"
jaksm/expo-docs-mcp,expo-docs-mcp,A Model Context Protocol server for semantic search of Expo documentation,[],71,"Arts, Entertainment, and Recreation",0.7998026013374329,"# Expo Docs MCP Server

MCP server for semantic search of pre-indexed Expo documentation. Search through Expo SDK documentation using AI-powered semantic search with version-specific results.

## Features

- 🔍 **Semantic Search**: AI-powered search through Expo documentation
- 📚 **Version-Specific**: Search across different Expo SDK versions (v51, v52, v53, latest)
- ⚡ **Fast Results**: Pre-indexed documentation with HNSW vector search
- 🎯 **Relevant Results**: Similarity scoring and configurabl"
hirefrank/hirefrank-marketplace,hirefrank-marketplace,,[],56,Administrative and Support Services,0.7996273040771484,"# hirefrank Marketplace

The official hirefrank marketplace where I share my AI workflow tools and productivity plugins. Featuring specialized Claude Code plugins for AI analysis and Cloudflare Workers development.

## Available Plugins

### 🔍 Claude Skills Analyzer
**Plugin ID**: `claude-skills-analyzer`

Analyzes your AI conversation exports (Claude, ChatGPT) to automatically generate reusable Custom Skills based on your actual usage patterns.

**Key Features:**
- Cross-platform analysis (Clau"
VictoriaAI-Core/legalaiarchitect,legalaiarchitect,LegalAIArchitect.com - AI Operating Systems for Law Firms,[],54,"Professional, Scientific, Technical Services",0.7993064522743225,
jung-bak/color-analyzer,color-analyzer,,[],54,"Professional, Scientific, Technical Services",0.799263596534729,"# 🎨 Personal Color Analysis

An intelligent web application that analyzes face photos to determine your seasonal color palette using computer vision and color theory. Built with FastAPI, MediaPipe, and vanilla JavaScript.

> 🚀 **Now using `uv`** - the blazingly fast Python package installer (10-100x faster than pip!)

## ✨ Features

- **Intelligent Face Detection**: Uses MediaPipe Face Mesh to detect 468 facial landmarks
- **Dual-Mode White Balance Correction**:
  - Background-based method for p"
moreesindo/FamilyAIClauldCreate,FamilyAIClauldCreate,,[],81,Other Services,0.7992630004882812,"# FamilyAI - 家庭 AI 服务中心

<div align=""center"">

![NVIDIA Jetson Thor](https://img.shields.io/badge/Platform-NVIDIA%20Jetson%20Thor-76B900?style=for-the-badge&logo=nvidia&logoColor=white)
![vLLM](https://img.shields.io/badge/Inference-vLLM-00ADD8?style=for-the-badge)
![Docker](https://img.shields.io/badge/Docker-Containerized-2496ED?style=for-the-badge&logo=docker&logoColor=white)
![K3s](https://img.shields.io/badge/Orchestration-K3s-FFC61C?style=for-the-badge&logo=kubernetes&logoColor=black)

**部"
codelibs/fess-ds-slack,fess-ds-slack,DataStore Crawler for Slack,[],51,Information,0.798949658870697,"Slack Data Store for Fess
[![Java CI with Maven](https://github.com/codelibs/fess-ds-slack/actions/workflows/maven.yml/badge.svg)](https://github.com/codelibs/fess-ds-slack/actions/workflows/maven.yml)
==========================

## Overview

Slack Data Store is an extension for Fess Data Store Crawling.

## Download

See [Maven Repository](https://repo1.maven.org/maven2/org/codelibs/fess/fess-ds-slack/).

## Installation

See [Plugin](https://fess.codelibs.org/13.3/admin/plugin-guide.html) of A"
queelius/aperture,aperture,,[],54,"Professional, Scientific, Technical Services",0.7989471554756165,"# Apertures

A minimal Lisp-like language where ""holes"" (written `?x` or `?ns.x`) represent unknown values that can be filled later. This enables pausable, resumable evaluation for coordinating computation across distributed systems.

**This is a coordination primitive, not a security mechanism.** Apertures leak information through program structure and are suitable for honest-but-curious settings where coordination matters more than cryptographic privacy.

## Installation

```bash
go install gi"
Publikey/runqy-worker,runqy-worker,,[],56,Administrative and Support Services,0.7988981008529663,"<p align=""center"">
  <img src=""assets/logo.svg"" alt=""runqy logo"" width=""80"" height=""80"">
</p>

<h1 align=""center"">runqy-worker</h1>

<p align=""center"">
  Stateless task processor with server-driven bootstrap.
  <br>
  Part of the <a href=""https://github.com/publikey/runqy"">runqy</a> distributed task queue system.
  <br>
  <a href=""https://docs.runqy.com/worker/""><strong>Documentation</strong></a> · <a href=""https://runqy.com""><strong>Website</strong></a>
</p>

## Features

- **Server-driven boot"
puran-water/freecad-pid-workbench,freecad-pid-workbench,"FreeCAD workbench for P&ID editing: import/export DEXPI Proteus XML 4.2, visualize piping topology with 272 equipment classes, apply ELK orthogonal layout with NetworkX fallback, and maintain round-trip fidelity for human-in-the-loop review of AI-generated diagrams.",[],31-33,Manufacturing,0.7988747358322144,"# FreeCAD P&ID Workbench

A FreeCAD workbench for editing Process & Instrumentation Diagrams (P&ID) using DEXPI as the canonical data format. Supports lossless round-trip import/export of Proteus XML 4.2 and DEXPI JSON.


> **⚠️ DEVELOPMENT STATUS: This project is under active development and is not yet production-ready. APIs, interfaces, and functionality may change without notice. Use at your own risk for evaluation and testing purposes only. Not recommended for production deployments.**

## F"
